Architecture,Layer
cait_xxs24_224,blocks.16.mlp.act
cait_xxs24_224,blocks.17.norm1
cait_xxs24_224,blocks.17.norm2
cait_xxs24_224,blocks.17.mlp.act
cait_xxs24_224,blocks.18.norm1
cait_xxs24_224,blocks.18.norm2
cait_xxs24_224,blocks.18.mlp.act
cait_xxs24_224,blocks.19.norm1
cait_xxs24_224,blocks.19.norm2
cait_xxs24_224,blocks.19.mlp.act
cait_xxs24_224,blocks.20.norm1
cait_xxs24_224,blocks.20.norm2
cait_xxs24_224,blocks.20.mlp.act
cait_xxs24_224,blocks.21.norm1
cait_xxs24_224,blocks.21.norm2
cait_xxs24_224,blocks.21.mlp.act
cait_xxs24_224,blocks.22.norm1
cait_xxs24_224,blocks.22.norm2
cait_xxs24_224,blocks.22.mlp.act
cait_xxs24_224,blocks.23.norm1
cait_xxs24_224,blocks.23.norm2
cait_xxs24_224,blocks.23.mlp.act
cait_xxs24_224,norm
coat_lite_tiny,serial_blocks1.0.norm1.layer_norm
coat_lite_tiny,serial_blocks1.0.norm2.layer_norm
coat_lite_tiny,serial_blocks1.1.norm1.layer_norm
coat_lite_tiny,serial_blocks1.1.norm2.layer_norm
coat_lite_tiny,serial_blocks2.0.norm1.layer_norm
coat_lite_tiny,serial_blocks2.0.norm2.layer_norm
coat_lite_tiny,serial_blocks2.1.norm1.layer_norm
coat_lite_tiny,serial_blocks2.1.norm2.layer_norm
coat_lite_tiny,serial_blocks3.0.norm1.layer_norm
coat_lite_tiny,serial_blocks3.0.norm2.layer_norm
coat_lite_tiny,serial_blocks3.1.norm1.layer_norm
coat_lite_tiny,serial_blocks3.1.norm2.layer_norm
coat_lite_tiny,serial_blocks4.0.norm1.layer_norm
coat_lite_tiny,serial_blocks4.0.norm2.layer_norm
coat_lite_tiny,serial_blocks4.1.norm1.layer_norm
coat_lite_tiny,serial_blocks4.1.norm2.layer_norm
coat_lite_tiny,serial_blocks1.0.mlp.act
coat_lite_tiny,serial_blocks1.1.mlp.act
coat_lite_tiny,serial_blocks2.0.mlp.act
coat_lite_tiny,serial_blocks2.1.mlp.act
coat_lite_tiny,serial_blocks3.0.mlp.act
coat_lite_tiny,serial_blocks3.1.mlp.act
coat_lite_tiny,serial_blocks4.0.mlp.act
coat_lite_tiny,serial_blocks4.1.mlp.act
deit_tiny_patch16_224,patch_embed.norm
deit_tiny_patch16_224,blocks.0.norm1
deit_tiny_patch16_224,blocks.0.norm2
deit_tiny_patch16_224,blocks.0.mlp.act
deit_tiny_patch16_224,blocks.1.norm1
deit_tiny_patch16_224,blocks.1.norm2
deit_tiny_patch16_224,blocks.1.mlp.act
deit_tiny_patch16_224,blocks.2.norm1
deit_tiny_patch16_224,blocks.2.norm2
deit_tiny_patch16_224,blocks.2.mlp.act
deit_tiny_patch16_224,blocks.3.norm1
deit_tiny_patch16_224,blocks.3.norm2
deit_tiny_patch16_224,blocks.3.mlp.act
deit_tiny_patch16_224,blocks.4.norm1
deit_tiny_patch16_224,blocks.4.norm2
deit_tiny_patch16_224,blocks.4.mlp.act
deit_tiny_patch16_224,blocks.5.norm1
deit_tiny_patch16_224,blocks.5.norm2
deit_tiny_patch16_224,blocks.5.mlp.act
deit_tiny_patch16_224,blocks.6.norm1
deit_tiny_patch16_224,blocks.6.norm2
deit_tiny_patch16_224,blocks.6.mlp.act
deit_tiny_patch16_224,blocks.7.norm1
deit_tiny_patch16_224,blocks.7.norm2
deit_tiny_patch16_224,blocks.7.mlp.act
deit_tiny_patch16_224,blocks.8.norm1
deit_tiny_patch16_224,blocks.8.norm2
deit_tiny_patch16_224,blocks.8.mlp.act
deit_tiny_patch16_224,blocks.9.norm1
deit_tiny_patch16_224,blocks.9.norm2
deit_tiny_patch16_224,blocks.9.mlp.act
deit_tiny_patch16_224,blocks.10.norm1
deit_tiny_patch16_224,blocks.10.norm2
deit_tiny_patch16_224,blocks.10.mlp.act
deit_tiny_patch16_224,blocks.11.norm1
deit_tiny_patch16_224,blocks.11.norm2
deit_tiny_patch16_224,blocks.11.mlp.act
deit_tiny_patch16_224,norm
levit_128,stem.act1
levit_128,stem.act2
levit_128,stem.act3
levit_128,stages.0.blocks.0.attn.proj.act
levit_128,stages.0.blocks.0.mlp.act
levit_128,stages.0.blocks.1.attn.proj.act
levit_128,stages.0.blocks.1.mlp.act
levit_128,stages.0.blocks.2.attn.proj.act
levit_128,stages.0.blocks.2.mlp.act
levit_128,stages.0.blocks.3.attn.proj.act
levit_128,stages.0.blocks.3.mlp.act
levit_128,stages.1.blocks.0.attn.proj.act
levit_128,stages.1.blocks.0.mlp.act
levit_128,stages.1.blocks.1.attn.proj.act
levit_128,stages.1.blocks.1.mlp.act
levit_128,stages.1.blocks.2.attn.proj.act
levit_128,stages.1.blocks.2.mlp.act
levit_128,stages.1.blocks.3.attn.proj.act
levit_128,stages.1.blocks.3.mlp.act
levit_128,stages.2.blocks.0.attn.proj.act
levit_128,stages.2.blocks.0.mlp.act
levit_128,stages.2.blocks.1.attn.proj.act
levit_128,stages.2.blocks.1.mlp.act
levit_128,stages.2.blocks.2.attn.proj.act
levit_128,stages.2.blocks.2.mlp.act
levit_128,stages.2.blocks.3.attn.proj.act
levit_128,stages.2.blocks.3.mlp.act
mixer_b16_224,blocks.1.norm1
mixer_b16_224,blocks.1.norm2
mixer_b16_224,blocks.1.mlp_channels.act
mixer_b16_224,blocks.3.norm1
mixer_b16_224,blocks.3.norm2
mixer_b16_224,blocks.3.mlp_channels.act
mixer_b16_224,blocks.5.norm1
mixer_b16_224,blocks.5.norm2
mixer_b16_224,blocks.5.mlp_channels.act
mixer_b16_224,blocks.7.norm1
mixer_b16_224,blocks.7.norm2
mixer_b16_224,blocks.7.mlp_channels.act
mixer_b16_224,blocks.9.norm1
mixer_b16_224,blocks.9.norm2
mixer_b16_224,blocks.9.mlp_channels.act
mixer_b16_224,blocks.11.norm1
mixer_b16_224,blocks.11.norm2
